Link,Item,Colours,Price
https://www.underarmour.com.sg/en-sg/p/accessories-facemasks-hoods-gaiters/ua_sportsmask_featherweight/1372228.html?dwvar_1372228_color=001&start=0&breadCrumbLast=Now%20Trending,UA SPORTSMASK Featherweight,6,29.0
https://www.underarmour.com.sg/en-sg/p/best-sellers-mens/mens_ua_playoff_polo_2.0/1327037.html?dwvar_1327037_color=048&start=0&breadCrumbLast=Now%20Trending,Men's UA Playoff Polo 2.0,10,89.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_ua_3z5_basketball_shoes/3023087.html?dwvar_3023087_color=003&start=0&breadCrumbLast=Now%20Trending,Unisex UA 3Z5 Basketball Shoes,2,139.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_tech_2.0_dash_short_sleeve/1366140.html?dwvar_1366140_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Tech™ 2.0 Dash Short Sleeve,11,35.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_curry_flow_9_basketball_shoes/3026091.html?dwvar_3026091_color=116&start=0&breadCrumbLast=Now%20Trending,Unisex Curry Flow 9 Basketball Shoes,1,239.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_training_vent_2.0_short_sleeve/1361426.html?dwvar_1361426_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Training Vent 2.0 Short Sleeve,9,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_tech_2.0_short_sleeve/1326413.html?dwvar_1326413_color=752&start=0&breadCrumbLast=Now%20Trending,Men's UA Tech™ 2.0 Short Sleeve,15,35.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_iso-chill_shorts/1370083.html?dwvar_1370083_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Iso-Chill Shorts,4,119.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_tech_graphic_shorts/1306443.html?dwvar_1306443_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Tech™ Graphic Shorts,7,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_training_vent_jacquard_short_sleeve/1370365.html?dwvar_1370365_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Training Vent Jacquard Short Sleeve,2,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_tee_to_green_polo/1368122.html?dwvar_1368122_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA Tee To Green Polo,9,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_rush_energy_short_sleeve/1366138.html?dwvar_1366138_color=001&start=0&breadCrumbLast=Now%20Trending,Men's UA RUSH™ Energy Short Sleeve,7,59.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_team_issue_wordmark_short_sleeve/1329582.html?dwvar_1329582_color=001&start=12&breadCrumbLast=Now%20Trending,Men's UA Team Issue Wordmark Short Sleeve,5,25.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-underwear/mens_charged_cotton_6_boxerjock_%E2%80%93_3-pack/1363617.html?dwvar_1363617_color=600&start=12&breadCrumbLast=Now%20Trending,"Men's Charged Cotton® 6"" Boxerjock® – 3-Pack",4,69.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_ua_spawn_4_basketball_shoes/3024971.html?dwvar_3024971_color=001&start=12&breadCrumbLast=Now%20Trending,Unisex UA Spawn 4 Basketball Shoes,3,149.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_triumph_cordura_duffle_backpack/1369217.html?dwvar_1369217_color=001&start=12&breadCrumbLast=Now%20Trending,UA Triumph CORDURA® Duffle Backpack,1,199.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_flow_velociti_wind_2_running_shoes/3024903.html?dwvar_3024903_color=001&start=12&breadCrumbLast=Now%20Trending,Men's UA Flow Velociti Wind 2 Running Shoes,2,229.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/project_rock_box_duffle_backpack/1364189.html?dwvar_1364189_color=002&start=12&breadCrumbLast=Now%20Trending,Project Rock Box Duffle Backpack,2,129.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_sportstyle_logo_tank/1329589.html?dwvar_1329589_color=001&start=12&breadCrumbLast=Now%20Trending,Men's UA Sportstyle Logo Tank,2,29.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_heatgear_fitted_short_sleeve/1370323.html?dwvar_1370323_color=001&start=12&breadCrumbLast=Now%20Trending,Men's HeatGear® Fitted Short Sleeve,2,45.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_launch_run_7_shorts/1361493.html?dwvar_1361493_color=001&start=12&breadCrumbLast=Now%20Trending,"Men's UA Launch Run 7"" Shorts",5,49.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_hustle_pro_backpack/1367060.html?dwvar_1367060_color=001&start=12&breadCrumbLast=Now%20Trending,UA Hustle Pro Backpack,3,99.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_vanish_seamless_run_short_sleeve/1361356.html?dwvar_1361356_color=012&start=12&breadCrumbLast=Now%20Trending,Men's UA Vanish Seamless Run Short Sleeve,2,69.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_speed_stride_2.0_t-shirt/1369743.html?dwvar_1369743_color=001&start=12&breadCrumbLast=Now%20Trending,Men's UA Speed Stride 2.0 T-Shirt,4,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_fast_left_chest_short_sleeve/1329584.html?dwvar_1329584_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Fast Left Chest Short Sleeve,3,25.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-equipment/mens_ua_performance_headband/1276990.html?dwvar_1276990_color=600&start=24&breadCrumbLast=Now%20Trending,Men's UA Performance Headband,4,9.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_armourprint_short_sleeve/1372607.html?dwvar_1372607_color=400&start=24&breadCrumbLast=Now%20Trending,Men's UA ArmourPrint Short Sleeve,3,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_tech_shorts/1350071.html?dwvar_1350071_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Tech™ Shorts,3,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_woven_7_shorts/1365212.html?dwvar_1365212_color=001&start=24&breadCrumbLast=Now%20Trending,"Men's UA Woven 7"" Shorts",5,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_heatgear_armour_fitted_short_sleeve/1361683.html?dwvar_1361683_color=001&start=24&breadCrumbLast=Now%20Trending,Men's HeatGear® Armour Fitted Short Sleeve,6,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_drive_joggers/1370082.html?dwvar_1370082_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Drive Joggers,2,129.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_streaker_run_short_sleeve/1361469.html?dwvar_1361469_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Streaker Run Short Sleeve,5,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-underwear/mens_charged_cotton_stretch_6%C2%9D_boxerjock_-_3-pack/1277279.html?dwvar_1277279_color=001&start=24&breadCrumbLast=Now%20Trending,"Men's Charged Cotton® Stretch 6"" Boxerjock® - 3-Pack",2,69.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_speedpocket_vent_shorts/1365673.html?dwvar_1365673_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Speedpocket Vent Shorts,2,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_iso-chill_tapered_pants/1369999.html?dwvar_1369999_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Iso-Chill Tapered Pants,4,149.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_atlantic_dune_sandals/3022705.html?dwvar_3022705_color=001&start=24&breadCrumbLast=Now%20Trending,Men's UA Atlantic Dune Sandals,4,35.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_project_rock_bsr_flag_tank/1370487.html?dwvar_1370487_color=361&start=36&breadCrumbLast=Now%20Trending,Men's Project Rock BSR Flag Tank,1,59.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-headwear/mens_project_rock_trucker_hat/1369815.html?dwvar_1369815_color=001&start=36&breadCrumbLast=Now%20Trending,Men's Project Rock Trucker Hat,3,45.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_charged_breeze_running_shoes/3025129.html?dwvar_3025129_color=001&start=36&breadCrumbLast=Now%20Trending,Men's UA Charged Breeze Running Shoes,2,129.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_drive_shorts/1364409.html?dwvar_1364409_color=408&start=36&breadCrumbLast=Now%20Trending,Men's UA Drive Shorts,6,99.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_seamless_run_singlet/1366501.html?dwvar_1366501_color=481&start=36&breadCrumbLast=Now%20Trending,Men's UA Seamless Run Singlet,1,59.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/adult_ua_lockdown_5_basketball_shoes/3023949.html?dwvar_3023949_color=601&start=36&breadCrumbLast=Now%20Trending,Adult UA Lockdown 5 Basketball Shoes,3,99.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_baseline_10_shorts/1370220.html?dwvar_1370220_color=001&start=36&breadCrumbLast=Now%20Trending,"Men's UA Baseline 10"" Shorts",3,49.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_hovr_machina_3_running_shoes/3024899.html?dwvar_3024899_color=001&start=36&breadCrumbLast=Now%20Trending,Men's UA HOVR™ Machina 3 Running Shoes,6,229.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_charged_assert_9_running_shoes/3024590.html?dwvar_3024590_color=001&start=36&breadCrumbLast=Now%20Trending,Men's UA Charged Assert 9 Running Shoes,7,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_woven_graphic_wordmark_shorts/1361433.html?dwvar_1361433_color=001&start=36&breadCrumbLast=Now%20Trending,Men's UA Woven Graphic Wordmark Shorts,5,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_multicolor_box_logo_short_sleeve/1370529.html?dwvar_1370529_color=014&start=36&breadCrumbLast=Now%20Trending,Men's UA Multicolor Box Logo Short Sleeve,2,29.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_sportstyle_left_chest_short_sleeve_shirt/1326799.html?dwvar_1326799_color=001&start=36&breadCrumbLast=Now%20Trending,Men's UA Sportstyle Left Chest Short Sleeve Shirt,10,35.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_project_rock_outworked_short_sleeve/1370490.html?dwvar_1370490_color=001&start=48&breadCrumbLast=Now%20Trending,Men's Project Rock Outworked Short Sleeve,2,59.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_coldgear_compression_mock/1366072.html?dwvar_1366072_color=001&start=48&breadCrumbLast=Now%20Trending,Men's ColdGear® Compression Mock,2,79.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-socks/adult_heatgear_crew_socks_3-pack/1346751.html?dwvar_1346751_color=001&start=48&breadCrumbLast=Now%20Trending,Adult HeatGear® Crew Socks 3-Pack,5,25.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_project_rock_slides/3025237.html?dwvar_3025237_color=001&start=48&breadCrumbLast=Now%20Trending,Men's Project Rock Slides,2,89.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-socks/unisex_ua_ultra_lo_%E2%80%93_3-pack_socks/1351784.html?dwvar_1351784_color=001&start=48&breadCrumbLast=Now%20Trending,Unisex UA Ultra Lo – 3-Pack Socks,5,23.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_surge_3_running_shoes/3024883.html?dwvar_3024883_color=001&start=48&breadCrumbLast=Now%20Trending,Men's UA Surge 3 Running Shoes,4,69.0
